movie,screenwriter,year
Starship Troopers 2: Hero of the Federation,Ed Neumeier,2004
The Battle of Shaker Heights,Erica Beeney,2003
The Man Who Knew Too Much,Charles Bennett,1935
Fired Up,Freedom Jones,2009
Sharknado 2: The Second One,Thunder Levin,2014
Prancer,Greg Taylor,1989
Dear Wendy,Lars von Trier,2005
Wilson,Daniel Clowes,2017
Forrest Gump,Eric Roth,1994
Dumb and Dumberer: When Harry Met Lloyd,Robert Brenner,2003
Saving Santa,Tony Nottage,2013
"The Long, Long Trailer",Frances Goodrich,1954
Bulletproof Heart,Gordon Melbourne,1995
Larry the Cable Guy: Health Inspector,James Greer,2006
The Craft,Andrew Fleming,1996
Snake Eyes,David Koepp,1998
Just My Luck,Amy B Harris,2006
The Yellow Sea (Hwanghae),Hong-jin Na,2011
Bobby G. Can't Swim,John-Luke Montias,1999
State Property 2,Adam Moreno,2005
V/H/S,Glenn McQuaid,2012
My Favorite Wife,Sam Spewack,1940
Physical Evidence,Bill Phillips,1989
Victoria,Olivia Neergaard-Holm,2015
I Killed My Mother,Xavier Dolan,2013
La dlicatesse (Delicacy),David Foenkinos,2012
A Short History Of Decay,Michael Maren,2014
Cocktail,Heywood Gould,1988
Hipsters,Yuriy Korotkov,2011
Some Came Running,John Patrick,1959
Being Flynn,Paul Weitz,2012
Cat Run,Nick Ball,2011
It,Chase Palmer,2017
In Their Skin,Joshua Close,2012
Struck by Lightning,Chris Colfer,2013
Reign of Fire,Terry Hayes,2002
Wonderful World,Joshua Goldin,2010
They Came Back,Robin Campillo,2004
Getting Even With Dad,Jim Jennewein,1994
The Last House on the Left,Adam Alleca,2009
Son of Man,Andiswa Kedama,2006
The Replacement Killers,Ken Sanzel,1998
Leonie,David Wiener,2013
The Seventh Fire,Jack Pettibone Riccobono,2016
The Legacy of a Whitetail Deer Hunter,Jody Hill,2018
Spiders,Tibor Takcs,2013
Unlawful Entry,George Putnam,1992
Sexy Beast,Louis Mellis,2000
Don Quixote,Orson Welles,1992
Journey of Hope,Feride iekoglu,1991
L.A. Story,Steve Martin,1991
The Rise and Fall of Legs Diamond,Joseph Landon,1960
Talladega Nights: The Ballad of Ricky Bobby,Will Ferrell,2006
La Historia Oficial (The Official Story),Aida Bortnik,1985
It,Hope Loring,1927
Mojados: Through the Night,Tommy Davis,2004
Blackbird,Patrik-Ian Polk,2015
10 Cloverfield Lane,Matthew Stuecken,2016
Queen Kelly,Erich von Stroheim,1929
In Cold Blood,Richard Brooks,1967
Love Crime,Nathalie Carter,2011
Last Days in Vietnam,Keven McAlester,2014
Better Watch Out,Chris Peckover,2017
Juggernaut,Daniel DiMarco,2018
Conviction,Pamela Gray (II),2010
When I Saw You,Annemarie Jacir,2012
"Csillagosok, katonk (The Red and The White)",Georgiy Mdivani,1967
State of Play,Tony Gilroy,2009
Lifeforce,Don Jakoby,1985
Doomsday Book,Lee Hwan-Hui,2012
The Illusionist (L'illusionniste),Jacques Tati,2010
Magic in the Water,Icel Dobell Massey,1995
"Fat, Sick and Nearly Dead",Robert Mac,2011
A Clockwork Orange,Stanley Kubrick,1971
Mediterranea,Jonas Carpignano,2015
The Mummy's Curse,Bernard Schubert,1944
Hawaii,Dalton Trumbo,1966
The Green Hornet,Seth Rogen,2011
Love & Sex,Valerie Breiman,2000
Pretty Bird,Paul Schneider,2008
The Last Man on Earth,Richard Matheson,1964
Murder at 1600,David Hodgin,1997
Journey of Hope,Xavier Koller,1991
I Heart Huckabees,Jeff Baena,2004
Little Giants,James Ferguson,1994
Conquest of Space,Philip Yordan,1955
Citizen Toxie: The Toxic Avenger IV,Gabriel Friedman,2000
Cry of the Owl,Jamie Thraves,2009
Stuart Little 2,Bruce Joel Rubin,2002
The Passion of the Christ,Mel Gibson,2004
Bangkok Dangerous,Danny Pang,1999
The Hero,Marc Basch,2017
Santa Buddies,Robert Vince,2009
Citizen Koch,Tia Lessin,2014
The Great Muppet Caper,Jay Tarses,1981
The Great Dictator,Charles Chaplin,1940
Inside Llewyn Davis,Joel Coen,2013
The Sum of All Fears,Paul Attanasio,2002
Risen,Kevin Reynolds,2016
L'Heure d't (Summer Hours),Olivier Assayas,2009
Lakeboat,David Mamet,2000
Sorry to Bother You,Boots Riley,2018
The Thing with Two Heads,Lee Frost,1972
Lost Child,Tim Macy,2018
Rio,Earl Richie Jones,2011
Short Term 12,Destin Daniel Cretton,2013
A Turtle's Tale: Sammy's Adventures,Domonic Paris,2011
The Wizard of Oz,Noel Langley,1939
Fireproof,Stephen Kendrick,2008
Big Momma's House,Don Rhymer,2000
Concussion,Peter Landesman,2015
Taps,Robert Mark Kamen,1981
A Month Of Sundays,Matthew Saville,2015
Barbara,Christian Petzold,2012
American Swing,Jon Hart,2009
Force Majeure,Ruben stlund,2014
Keeping the Faith,Stuart Blumberg,2000
Never Talk to Strangers,Lewis Green,1995
Listening,Khalil Sullins,2015
Let it Rain (Parlez-moi de la pluie),Jean-Pierre Bacri,2010
Under the Same Moon,Ligiah Villalobos,2008
Man-Thing,Hans Rodionoff,2005
Party Monster,Fenton Bailey,2003
Lords of Dogtown,Stacy Peralta,2005
Rainbow Brite and the Star Stealer,Howard R. Cohen,1985
"Elvira, Mistress of the Dark",John Paragon,1988
The Mask of Zorro,John Eskow,1998
A Whisper To A Roar,Ben Moses,2012
Star Trek V - The Final Frontier,David Loughery,1989
The Most Dangerous Game,James Creelman,1932
The Return of Swamp Thing,Grant Morris,1989
Come See the Paradise,Alan Parker,1990
The Day the Earth Caught Fire,Val Guest,1962
The Yards,Matt Reeves,2000
Terror Train,Tom Y. Drake,1980
The Fox and the Hound,Vance Gerry,1981
Wonderland,Captain Mauzner,2003
Underworld: The Rise of the Lycans,Howard McCain,2009
The Darjeeling Limited,Jason Schwartzman,2007
Perfume,Michael Rymer,2001
Jackass: Number Two,Sean Cliver,2006
Lilting,Hong Khaou,2014
Awakening the Zodiac,Jennifer Archer,2017
Hellbenders,J.T. Petty,2013
Marrowbone,Sergio G. Snchez,2018
Hostiles,Scott Cooper,2018
Superman IV: The Quest for Peace,Mark Rosenthal,1987
Complete Unknown,Joshua Marston,2016
The House of the Spirits,Michael Hirst,1994
Echelon Conspiracy,Michael Nitsberg,2009
300: Rise of an Empire,Kurt Johnstad,2014
But I'm a Cheerleader,Brian Wayne Peterson,2000
One True Thing,Karen Croner,1998
Ellie Parker,Scott Coffey,2005
They Drive by Night,Jerry Wald,1940
Flock Of Dudes,Brian Levin,2016
"Crna macka, beli macor (Black Cat, White Cat)",Gordan Mihic,1999
For the Love of Money,Jenna Mattison,2012
The 40 Year Old Virgin,Steve Carell,2005
Mr. Blandings Builds His Dream House,Melvin Frank,1948
Babyfever,Henry Jaglom,1994
Colma: The Musical,H.P. Mendoza,2006
The Tourist,Florian Henckel von Donnersmarck,2010
Down Terrace,Ben Wheatley,2010
A Rage in Harlem,John Toles-Bey,1991
Guru,Vijay Krishna Acharya,2007
The Sons of Katie Elder,William H. Wright,1965
Lazy Eye,Tim Kirkman,2016
Clowntergeist,Aaron Mirtes,2017
Overboard,Rob Greenberg,2018
First Blood,William Sackheim,1982
Pretty Poison,Lorenzo Semple Jr.,1968
Mr. & Mrs. Smith,Norman Krasna,1941
Duck,Nic Bettauer,2005
Batman Gotham Knight,Brian Azzarello,2008
Term Life,A.J. Lieberman,2016
With Honors,Israel Horovitz,1994
Sesame Street Presents: Follow That Bird,Judy Freudberg,1985
True Story,David Kajganich,2015
In the Heart of the Sea,Rick Jaffa,2015
The Postman,Eric Roth,1997
Get Low,C. Gaby Mitchell,2010
Open City,Federico Fellini,1946
La Scorta,Simona Izzo,1994
Meet John Doe,Richard Connell,1941
Blue Sky,Rama Laurie Stagner,1994
The Dark Knight,Christopher Nolan,2008
Guarding Tess,Hugh Wilson,1994
Road To Nowhere,Steven Gaydos,2011
Abel,Diego Luna,2013
Delivery: The Beast Within,Brian Netto,2014
Batman Returns,Sam Hamm,1992
Funeral Kings,Matthew McManus (II),2012
Strange Days,James Cameron,1995
Monster Family,Catharina Junk,2018
Lock Up,Jeb Stuart,1989
Hotel,Mike Figgis,2003
Big Business,Marc Reid Rubel,1988
Notorious,Cheo Hodari Coker,2009
Sympathy for Delicious,Christopher Thornton,2011
Simone,Andrew Niccol,2002
Hoodwinked Too! Hood vs Evil,Mike Disa,2011
Love Happens,Mike Thompson,2009
Little Giants,Robert Shallcross,1994
The Scorpion King,William Osborne,2002
Lisa And The Devil (Lisa e il diavolo) (The Devil in the House of Exorcism),Alberto Tintini,1973
The People vs. George Lucas,Alexandre O. Philippe,2011
Demons 2: The Nightmare Returns,Dario Argento,1987
Australia,Stuart Beattie,2008
The Riot Club (Posh),Laura Wade,2015
Zack and Miri Make a Porno,Kevin Smith,2008
The Hot Chick,Tom Brady,2002
"Jackie Chan's Project A2 ('A' gai wak juk jap) (Project A, Part II)",Jackie Chan,1987
3 Holes and a Smoking Gun,Scott Fivelson,2015
Sideways,Alexander Payne,2004
October Baby,Jon Erwin,2012
Nanking,Bill Guttentag,2007
Der Unhold (The Ogre),Volker Schlndorff,1999
A Sound of Thunder,Joshua Oppenheimer,2005
Bully,Zachary Long,2001
The School of Flesh,Jacques Fieschi,1998
The Great Silence (Il grande silenzio),Sergio Corbucci,1968
On the Road With Judas,J.J. Lask,2006
Fifty Shades Freed,Niall Leonard,2018
Ouija,Stiles White,2014
The Danish Girl,Lucinda Coxon,2015
White Noise 2,Matt Venne,2007
The Strangers: Prey At Night,Ben Ketai,2018
The Mighty Macs,Tim Chambers,2011
The Man from Elysian Fields,Philip Jayson Lasker,2001
The Gay Divorcee,Edward Kaufman,1934
Speedway Junky,Nickolas Perry,2002
Gone Baby Gone,Ben Affleck,2007
The Mirror,Aleksandr Misharin,1975
Appurushdo (Appleseed),Tsutomu Kamishiro,2004
Philomena,Jeff Pope,2013
The Night of the Iguana,Anthony Veiller,1964
Foxy Brown,Jack Hill,1974
Coffee and Cigarettes,Jim Jarmusch,2004
The Theory of Everything,Anthony McCarten,2014
Little Jerusalem,Karin Albou,2006
Guess Who,Jay Scherick,2005
Alvin and the Chipmunks: The Squeakquel,Jonathan Aibel,2009
Finding Vivian Maier,Charlie Siskel,2014
The Imaginarium of Doctor Parnassus,Charles McKeown,2009
Disgrace,Anna Maria Monticelli,2008
Killing Bono,Ian La Frenais,2011
Cats & Dogs: The Revenge of Kitty Galore,Ron J. Friedman,2010
Jurassic Park III,Alexander Payne,2001
The Fate of the Furious,Chris Morgan,2017
Judy Moody and the NOT Bummer Summer,Megan McDonald,2011
The Crow: City of Angels,David S. Goyer,1996
Monogamy,Dana Adam Shapiro,2011
Barry,Adam Mansbach,2016
Be With Me,Eric Khoo,2006
Money Talks,Joel Cohen,1997
The Cup,Eric O'Keefe,2012
Legion,Scott Stewart,2010
American Splendor,Shari Springer Berman,2003
Ghost Stories,Andy Nyman,2018
Something Borrowed,Jennie Snyder Urman,2011
The Legend of Billie Jean,Mark Rosenthal,1985
Life Partners,Joni Lefkowitz,2014
Platoon,Oliver Stone,1986
The Immortalists,Jason Sussberg,2014
The Dictator,Sacha Baron Cohen,2012
Don't Be Afraid Of The Dark,Guillermo del Toro,2011
Cardboard Boxer,Knate Gwaltney,2016
The Black Panthers: Vanguard Of The Revolution,Stanley Nelson,2015
Stella Days,Antoine O. Flatharta,2012
Ordinary World,Lee Kirk,2016
Home for the Holidays,W.D. Richter,1995
Late Marriage,Dover Kosashvili,2002
The Stunt Man,Lawrence B. Marcus,1980
Ants on a Shrimp,Maurice Dekkers,2016
Sergeant York,Harry Chandlee,1941
Gangs of New York,Steven Zaillian,2002
Puppet Master,Joseph G. Collodi,1989
Lockout,James Mather,2012
Solarbabies,Walon Green,1986
America: Imagine the World Without Her,Dinesh D'Souza,2014
Kill Your Friends,John Niven,2016
Fur: An Imaginary Portrait of Diane Arbus,Erin Cressida Wilson,2006
Code Black,Ryan McGarry,2014
Acolytes,Shayne Armstrong,2011
City Lights,Albert Austin,1931
New In Town,Kenneth Rance,2009
The Long Riders,Bill Bryden,1980
Blood Creek,Dave Kajganich,2009
The Case for Christ,Brian Bird,2017
Summer of Blood,Onur Tukel,2014
Master and Commander: The Far Side of the World,Peter Weir,2003
Son of Kong,Ruth Rose,1933
New Jack City,Barry Cooper,1991
Botched,Eamon Friel,2008
3 Women,Robert Altman,1977
2010,Peter Hyams,1984
The Fundamentals of Caring,Rob Burnett,2016
And While We Were Here,Kat Coiro,2013
Birth,Jean-Claude Carriere,2004
Fingers,James Toback,1978
The Cassandra Crossing,Tom Mankiewicz,1977
Mr. Popper's Penguins,John Morris (XIX),2011
Salvage,Colin O'Donnell,2009
Love After Love,Russell Harbaugh,2018
The Taking of Pelham 1 2 3,Brian Helgeland,2009
Cloverfield,Drew Goddard,2008
Byzantium,Moira Buffini,2013
Ever Again,Richard Trank,2006
JCVD (Van Dammage),Frdric Bnudis,2008
Cromwell,Ken Hughes,1970
American Folk,David Heinz,2018
Pootie Tang,Louis C.K.,2001
Aces: Iron Eagle III,Kevin Elders,1992
Evergreen,Enid Zentelis,2004
The Mummy's Ghost,Griffin Jay,1944
Sky Captain and the World of Tomorrow,Kerry Conran,2004
Rio,Carlos Saldanha,2011
Once Upon a Time in Brooklyn,William DeMeo,2013
The Sailor Who Fell From Grace With the Sea,Yukio Mishima,1976
Self/less,David Pastor,2015
Show Dogs,Marc Hyman,2018
The Dressmaker,P.J. Hogan,2016
Spoken Word,Joe Ray Sandoval,2010
The Color of Paradise,Majid Majidi,2000
For Richer or Poorer,Steve Lukanic,1997
Killing for Love (Das Versprechen),Karin Steinberger,2017
Sunshine,Istvn Szab,2000
Get Me Roger Stone,Daniel DiMauro,2017
The Dogs of War,George Malko,1980
She's All That,R. Lee Fleming Jr.,1999
Police Academy 2: Their First Assignment,David Sheffield,1985
The Little Vampire,Karey Kirkpatrick,2000
Escape to Witch Mountain,Robert Young,1975
Modigliani,Mick Davis,2004
The Orphanage,Sergio G. Snchez,2007
In Darkness,Anthony Byrne,2018
Time After Time,Nicholas Meyer,1979
Two Girls and a Guy,James Toback,1998
Avengers: Infinity War,Christopher Markus,2018
The Martian,Drew Goddard,2015
Calibre,Matt Palmer,2018
Die Flschung (Circle of Deceit),Jean-Claude Carriere,1981
Pure Country,Rex McGee,1992
Married Life,Ira Sachs,2008
Page Eight,David Hare,2011
The Muppet Movie,Jerry Juhl,1979
Killing for Love (Das Versprechen),Marcus Vetter,2017
A Face in the Crowd,Budd Schulberg,1957
A Monster Calls,Patrick Ness,2017
Halloween: Resurrection,Larry Brand,2002
Beer for My Horses,Rodney Carrington,2008
Tender Mercies,Horton Foote,1983
Road to Utopia,Melvin Frank,1945
I Remember You (Eg Man Big),Oskar Thor Axelsson,2017
Pp le Moko,Julien Duvivier,1937
School Ties,Dick Wolf,1992
Formosa Betrayed,Will Tiao,2010
Pride and Prejudice,Jane Murfin,1940
Class Action,Christopher Ames,1991
Hotel Transylvania 2,Adam Sandler,2015
Sammy's Adventures 2 (Sammy's avonturen 2),Domonic Paris,2012
Booty Call,Bootsie,1997
The Snow Walker,Charles Martin Smith,2003
The River,Jean Renoir,1959
Camp Rock,Paul Brown,2008
Ladyhawke,Michael Thomas,1985
Woman Thou Art Loosed,Stan Foster,2004
The Efficiency Expert,Andrew Knight,1992
New Best Friend,Victoria Strouse,2002
Deep Red (Profondo rosso),Bernardino Zapponi,1975
Manhattan,Marshall Brickman,1979
Hereafter,Peter Morgan,2010
Ninja Assassin,J. Michael Straczynski,2009
Tiger Bay,John Hawksworth,1959
Kill the Messenger,Peter Landesman,2014
The Horror of Frankenstein,Jimmy Sangster,1971
The Mortal Instruments: City of Bones,I. Marlene King,2013
We the Parents,James Takata,2013
The Corporation,Harold Crooks,2004
Twister,Ann-Marie Martin,1996
American Made,Gary Spinelli,2017
Mannequin 2: On the Move,David Isaacs,1991
Detour,Christopher Smith (VIII),2017
Everybody Wants Some!!,Richard Linklater,2016
Mr. Baseball,Gary Ross,1992
Pirate Radio (The Boat That Rocked),Richard Curtis,2009
Trees Lounge,Steve Buscemi,1996
Dinosaurs Alive! 3D,David Clark,2007
The Package,John Bishop,1989
Mad Love,P.J. Wolfson,1935
Send Me No Flowers,Julius J. Epstein,1964
The Kreutzer Sonata,Bernard Rose,2009
Daddy Day Camp,Geoff Rodkey,2007
Boogeyman,Eric Kripke,2005
Le Procs (The Trial),Orson Welles,1962
Wong Fei-hung chi tit gai dau neung gung (Deadly China Hero) (Claws of Steel) (Last Hero in China),Jing Wong,1993
Zamani baray masti asbha (A Time for Drunken Horses)(Intoxication for Horses),Bahman Ghobadi,2000
Oh! What A Lovely War,Len Deighton,1969
Terms And Conditions May Apply,Cullen Hoback,2013
360,Peter Morgan,2012
The United States of Leland,Matthew Ryan Hoge,2004
Cut Snake,Blake Ayshford,2015
Sparkle,Tom Hunsinger,2010
Diner,Barry Levinson,1982
Stepfather II,John Auerbach,1989
Back in the Day,Michael Rosenbaum,2014
Before We Go,Chris Shafer,2015
Ginger e Fred (Ginger and Fred),Tullio Pinelli,1986
The Ref,Marie Garrel Weiss,1994
Jayne Mansfield's Car,Tom Epperson,2013
Hotel Rwanda,Keir Pearson,2004
Jewtopia,Bryan Fogel,2013
Queen of Earth,Alex Ross Perry,2015
Them!,Russell S. Hughes,1954
Bleed For This,Ben Younger,2016
Saint John of Las Vegas,Hue Rhodes,2010
Blue Chips,Ron Shelton,1994
Live By Night,Ben Affleck,2017
Tumbleweeds,Gavin O'Connor,1999
Pumpkinhead II: Blood Wings,Ivan the Terrible,1994
La Peau douce (The Soft Skin),Franois Truffaut,1964
Just a Kiss,Patrick Breen,2002
Perfume: The Story of a Murderer,Bernd Eichinger,2006
Race the Sun,Barry Morrow,1996
Crazy on the Outside,Judd Pillot,2010
A Day at the Races,George Oppenheimer,1937
Dracula II: Ascension,Joel Soisson,2003
600 Miles,Issa Lpez,2015
Compadres,Gabriel Ripstein,2016
Supporting Characters,Tarik Lowe,2013
Blind Date,Stanley Tucci,2009
Maniac Cop 2,Lawrence Cohen,1990
District B13 (Banlieue 13),Bibi Naceri,2006
Many Adventures of Winnie the Pooh,Larry Clemmons,1977
Evil Angels (A Cry in the Dark),Robert Caswell,1988
Taxi,Robert Ben Garant,2004
Miami Vice,Michael Mann,2006
American Gun,Steven Bagatourian,2006
Fascination,Klaus Menzel,2005
Hotel for Dogs,Lois Duncan,2009
Bad Lieutenant,Victor Argo,1992
Flubber,Bill Walsh,1997
Silent Souls,Denis Osokin,2011
Land Ho!,Aaron Katz (II),2014
Tortilla Heaven,Julius Robinson,2007
The Holiday,Nancy Meyers,2006
Freaky Friday,Mary Rodgers,1976
Outside Bet,Paolo Hewitt,2012
Walt & El Grupo,Theodore Thomas,2008
The Greatest Game Ever Played,Mark Frost,2005
The Day the Earth Caught Fire,Wolf Mankowitz,1962
Mudbound,Dee Rees,2017
Slow Burn,Christian Ford,2000
Mail Order Wife,Huck Botko,2005
Splinter,Ian Shorr,2008
Dirty Girl,Abe Sylvia,2011
One Bright Shining Moment: The Forgotten Summer of George McGovern,Stephen Vittoria,2005
The Masked Saint,Scott Crowell,2016
Reign of Fire,Kevin Peterka,2002
Battleship,Brian Koppelman,2012
Sherlock Holmes and the Woman in Green,Bertram Millhauser,1945
Authors Anonymous,David Congalton,2014
A Night at the Roxbury,Will Ferrell,1998
Dead or Alive: Final,Ichiro Ryu,2002
Ha-Sodot (The Secrets),Avi Nesher,2007
The In-Laws,Nat Mauldin,2003
Late Spring,Kazuo Hirotsu,1949
Hearts of Darkness: A Filmmaker's Apocalypse,Fax Bahr,1991
The Usual Suspects,Christopher McQuarrie,1995
Back to School,William Porter,1986
Che: Part Two (Guerrilla),Benjamin A. van der Veen,2008
Colonia,Florian Gallenberger,2016
Deuce Bigalow: Male Gigolo,Harris Goldberg,1999
I Melt with You,Glenn Porter,2011
Evolution,Lucile Hadzihalilovic,2016
Sweet Virginia,Paul China,2017
A Prayer for the Dying,Martin Lynch,1987
At First Light,Jason Stone,2018
The Bag Man,Paul Conway,2014
Alps (Alpeis),Yorgos Lanthimos,2012
The Young Girl and the Monsoon,James Ryan,2001
The Suburbans,Donal Lardner Ward,1999
May In The Summer,Cherien Dabis,2014
Father of the Year,Brandon Cournoyer,2018
Biker Boyz,Craig Fernandez,2003
Jimmy Neutron - Boy Genius,J. David Stern,2001
Timecop,Mark Verheiden,1994
Spike Island,Christopher Coghill,2015
Playing It Cool,Chris Shafer,2015
Arthur 2: On the Rocks,Steve Gordon,1988
Micmacs (Micmacs  tire-larigot),Guillaume Laurant,2010
Dead Heat,Darren Star,1988
The Tooth Fairy,Corey Strode,2006
"Happy, Happy",Ragnhild Tronvoll,2011
Grudge Match,Rodney Rothman,2013
The Woods,David Ross,2006
Play The Game,Marc Fienberg,2009
My All American,Angelo Pizzo,2015
A Beautiful Life,Deborah Calla,2009
Laura,Samuel Hoffenstein,1944
Octopussy,Richard Maibaum,1983
Out of the Dark,Zane W. Levitt,1989
Quai des Orfvres (Quay of the Goldsmiths) (Jenny Lamour),Henri-Georges Clouzot,1948
Five Nights in Maine,Maris Curran,2016
Va Savoir,Pascal Bonitzer,2001
Escape Plan,Miles Chapman,2013
A Prophet (Un prophete),Jacques Audiard,2010
Caddyshack II,Jeffrey Price,1988
A Woman Under the Influence,John Cassavetes,1975
Panic in Year Zero! (End of the World),John Morton,1962
The Principal,John Fusco III,1987
The Man Who Invented Christmas,Susan Coyne,2017
Mrs. Hyde (Madame Hyde),Axelle Ropert,2018
Salon Kitty (Edited Version),Tinto Brass,1976
Comic Book Confidential,Charles Lippincott,1999
A Great Wall,Peter Wang,1986
The Lost Patrol,Garrett Fort,1934
MVP: Most Valuable Primate,Robert Vince,2000
A Bag of Hammers,Jake Sandvig,2012
Head of State,Chris Rock,2003
What's the Worst That Could Happen?,Matthew Chapman,2001
Larry Crowne,Nia Vardalos,2011
Ghost Dog - The Way of the Samurai,Jim Jarmusch,2000
Sergeant Rutledge,James Warner Bellah,1960
The Bone Snatcher,Gordon Render,2003
Saturn 3,John Barry,1980
Wonder Wheel,Woody Allen,2017
Judgment Night,Kevin Jarre,1993
Sembene!,Jason Silverman,2015
Gemini,Aaron Katz (II),2018
Amarcord,Federico Fellini,1974
Righteous Kill,Russell Gerwitz,2008
